0
         1267159 function calls (1249907 primitive calls) in 1.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1005    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 realtransforms.py:1(<module>)
      360    0.000    0.000    0.001    0.000 font_manager.py:889(_json_decode)
      958    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      352    0.000    0.000    0.001    0.000 _util.py:300(<listcomp>)
      158    0.000    0.000    0.011    0.000 _propertyhelper.py:357(install_properties)
        1    0.000    0.000    0.077    0.077 _continuous_distns.py:6(<module>)
       74    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     3650    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      457    0.000    0.000    0.003    0.000 inspect.py:2843(replace)
      285    0.000    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
     1120    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
     1005    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      300    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      592    0.000    0.000    0.012    0.000 __init__.py:111(resource_exists)
      391    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
        1    0.000    0.000    0.000    0.000 advection_2d_pbc_upwind5.py:120(u_exact)
      812    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      315    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
     4453    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        6    0.000    0.000    0.000    0.000 {method 'enumerate_versions' of 'gi.Repository' objects}
       82    0.000    0.000    0.001    0.000 __init__.py:161(override)
      134    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       67    0.000    0.000    0.000    0.000 {method 'get_methods' of 'ObjectInfo' objects}
      352    0.000    0.000    0.001    0.000 _util.py:314(<listcomp>)
     1160    0.000    0.000    0.001    0.000 inspect.py:504(_is_wrapper)
      618    0.000    0.000    0.002    0.000 _collections_abc.py:657(get)
  107/101    0.000    0.000    0.002    0.000 typing.py:180(_subs_tvars)
      188    0.000    0.000    0.000    0.000 colors.py:845(<listcomp>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
      455    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      115    0.000    0.000    0.007    0.000 _distn_infrastructure.py:587(__init__)
      101    0.000    0.000    0.003    0.000 typing.py:621(__getitem__)
      285    0.000    0.000    0.001    0.000 function_base.py:431(add_newdoc)
       86    0.000    0.000    0.002    0.000 types.py:339(__init__)
       67    0.000    0.000    0.005    0.000 module.py:95(get_interfaces_for_object)
       24    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
      327    0.000    0.000    0.001    0.000 docstring.py:92(_get_pytype_hint)
       91    0.000    0.000    0.001    0.000 types.py:140(_setup_native_vfuncs)
      213    0.000    0.000    0.000    0.000 {method 'find_by_name' of 'gi.Repository' objects}
  252/210    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      218    0.000    0.000    0.013    0.000 sre_compile.py:598(_code)
      132    0.000    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       21    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
      410    0.000    0.000    0.003    0.000 pyparsing.py:1417(copy)
      252    0.000    0.000    0.008    0.000 polyint.py:62(__call__)
      663    0.000    0.000    0.001    0.000 os.py:752(encode)
        1    0.000    0.000    0.002    0.002 pyplot.py:1953(_setup_pyplot_info_docstrings)
      522    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
  132/109    0.000    0.000    0.666    0.006 <frozen importlib._bootstrap_external>:1048(exec_module)
     1932    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
     1041    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
       13    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
       86    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
      252    0.000    0.000    0.000    0.000 {built-in method numpy.dot}
      352    0.000    0.000    0.000    0.000 _util.py:304(<listcomp>)
   233/11    0.000    0.000    0.093    0.008 __init__.py:109(import_module)
      218    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      221    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       12    0.000    0.000    0.001    0.000 polyint.py:501(__init__)
     1026    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
      309    0.000    0.000    0.001    0.000 numerictypes.py:365(issubdtype)
     1104    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      426    0.000    0.000    0.009    0.000 re.py:185(sub)
      253    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      522    0.000    0.000    0.014    0.000 re.py:180(search)
        1    0.000    0.000    0.004    0.004 generic.py:151(NDFrame)
      183    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      252    0.000    0.000    0.001    0.000 fromnumeric.py:1966(sum)
        1    0.000    0.000    0.002    0.002 GObject.py:24(<module>)
       18    0.000    0.000    0.005    0.000 rcsetup.py:860(validate_cycler)
        1    0.000    0.000    0.005    0.005 frame.py:319(DataFrame)
     2553    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
      111    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       36    0.000    0.000    0.004    0.000 __init__.py:1459(_add_data_doc)
     2483    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       91    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
       12    0.000    0.000    0.008    0.001 {built-in method scipy.integrate._quadpack._qagse}
      451    0.000    0.000    0.004    0.000 colors.py:128(is_color_like)
      618    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
       31    0.000    0.000    0.005    0.000 _collections_abc.py:824(update)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       24    0.000    0.000    0.001    0.000 traceback.py:318(extract)
       26    0.000    0.000    0.001    0.000 _backend.py:216(get_defaults)
      878    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.002    0.002 strings.py:2028(StringMethods)
      239    0.000    0.000    0.003    0.000 rcsetup.py:311(validate_color_for_prop_cycle)
      118    0.000    0.000    0.000    0.000 accessor.py:83(_create_delegator_property)
      620    0.000    0.000    0.002    0.000 genericpath.py:16(exists)
      820    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      944    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      252    0.000    0.000    0.002    0.000 polyint.py:88(_prepare_x)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3854(__init__)
      352    0.000    0.000    0.000    0.000 _util.py:309(<listcomp>)
    24/12    0.000    0.000    0.000    0.000 numeric.py:1401(roll)
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
     1452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3995(__init__)
      328    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       18    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
      182    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
   233/11    0.000    0.000    0.093    0.008 <frozen importlib._bootstrap>:994(_gcd_import)
     1088    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       54    0.000    0.000    0.001    0.000 __init__.py:889(_open_file_or_url)
